category,month,amount,note
Salaries,2026-01,42000.00,January payroll run
Payroll Taxes,2026-01,9870.55,
Advertising,2026-01,4800.00,Q1 campaign
Software Subscriptions,2026-01,1249.99,Seats renewed for the year
Office Rent,2026-01,7500.00,
Salaries,2026-02,42000.00,February payroll run
Payroll Taxes,2026-02,9870.55,
Advertising,2026-02,6200.40,Conference sponsorship
Software Subscriptions,2026-02,1249.99,
Office Rent,2026-02,7500.00,
Employee Travel,2026-02,1830.75,Two trips to the Berlin office
Advertising,2026-03,-450.00,Refund for a cancelled placement
Salaries,2026-03,43500.00,Includes one new starter
Payroll Taxes,2026-03,10120.30,
Office Rent,2026-03,7500.00,
